iter	Passed	Remaining
401	30583	30278
402	30675	30219
403	30752	30143
404	30828	30066
405	30906	29993
406	30992	29926
407	31068	29849
408	31141	29770
409	31234	29710
410	31324	29647
411	31403	29574
412	31485	29503
413	31563	29428
414	31637	29350
415	31754	29312
416	31855	29258
417	31945	29193
418	32029	29124
419	32120	29061
420	32214	29000
421	32307	28938
422	32395	28872
423	32477	28800
424	32556	28725
425	32636	28652
426	32724	28586
427	32808	28516
428	32889	28442
429	32987	28384
430	33078	28320
431	33182	28266
432	33248	28180
433	33320	28099
434	33402	28027
435	33477	27949
436	33558	27876
437	33643	27805
438	33718	27727
439	33789	27646
440	33883	27583
441	33965	27510
442	34052	27441
443	34135	27369
444	34211	27292
445	34309	27231
446	34435	27193
447	34516	27120
448	34596	27045
449	34682	26975
450	34759	26898
451	34870	26847
452	34953	26774
453	35050	26712
454	35147	26650
455	35242	26586
456	35333	26519
457	35417	26446
458	35523	26391
459	35624	26331
460	35705	26256
461	35785	26180
462	35869	26107
463	35946	26030
464	36032	25958
465	36117	25886
466	36201	25813
467	36288	25743
468	36376	25673
469	36453	25594
470	36530	25516
471	36620	25447
472	36715	25382
473	36819	25322
474	36927	25265
475	36999	25184
476	37079	25108
477	37169	25038
478	37235	24953
479	37315	24877
480	37411	24811
481	37494	24736
482	37585	24668
483	37673	24596
484	37752	24519
485	37841	24449
486	37930	24378
487	38015	24304
488	38114	24240
489	38186	24158
490	38263	24080
491	38360	24014
492	38438	23936
493	38514	23857
494	38592	23779
495	38681	23707
496	38771	23637
497	38862	23567
498	38942	23490
499	39025	23415
500	39096	23333
501	39193	23266
502	39280	23193
503	39375	23125
504	39447	23043
505	39533	22969
506	39631	22903
507	39704	22822
508	39774	22739
509	39839	22653
510	39907	22569
511	39976	22486
512	40056	22409
513	40127	22327
514	40199	22246
515	40264	22161
516	40338	22080
517	40505	22051
518	40604	21984
519	40673	21900
520	40758	21826
521	40831	21745
522	40898	21661
523	40971	21580
524	41062	21508
525	41144	21432
526	41226	21356
527	41310	21281
528	41398	21207
529	41473	21127
530	41562	21055
531	41669	20991
532	41793	20935
533	41888	20865
534	41986	20796
535	42098	20735
536	42171	20653
537	42258	20579
538	42341	20503
539	42412	20421
540	42490	20342
541	42564	20261
542	42651	20186
543	42750	20117
544	42838	20043
545	42963	19986
546	43076	19924
547	43150	19842
548	43221	19760
549	43297	19680
550	43377	19602
551	43461	19526
552	43546	19450
553	43619	19368
554	43700	19291
555	43784	19214
556	43887	19146
557	43974	19071
558	44056	18994
559	44163	18927
560	44261	18856
561	44366	18788
562	44444	18709
563	44536	18635
564	44642	18568
565	44775	18511
566	44914	18457
567	45012	18385
568	45118	18316
569	45210	18242
570	45291	18164
571	45367	18083
572	45485	18019
573	45594	17951
574	45664	17868
575	45745	17789
576	45822	17709
577	45907	17632
578	46008	17560
579	46087	17481
580	46159	17399
581	46250	17323
582	46350	17252
583	46428	17172
584	46513	17094
585	46591	17014
586	46695	16944
587	46805	16875
588	46897	16800
589	46984	16723
590	47065	16644
591	47149	16565
592	47228	16486
593	47314	16408
594	47401	16331
595	47479	16251
596	47562	16172
597	47645	16094
598	47730	16016
599	47830	15943
600	47932	15871
601	48039	15800
602	48141	15727
603	48218	15647
604	48308	15570
605	48395	15492
606	48481	15415
607	48574	15339
608	48669	15264
609	48770	15190
610	48857	15112
611	48947	15036
612	49038	14959
613	49126	14881
614	49247	14814
615	49362	14744
616	49447	14665
617	49525	14585
618	49612	14507
619	49705	14430
620	49799	14354
621	49890	14277
622	49971	14197
623	50061	14119
624	50155	14043
625	50242	13965
626	50331	13887
627	50420	13809
628	50524	13735
629	50634	13663
630	50714	13582
631	50802	13504
632	50885	13424
633	50977	13347
634	51057	13266
635	51138	13186
636	51223	13107
637	51300	13026
638	51380	12945
639	51471	12867
640	51554	12788
641	51636	12708
642	51771	12640
643	51884	12568
644	51964	12487
645	52056	12409
646	52144	12330
647	52233	12252
648	52319	12172
649	52409	12094
650	52491	12014
651	52569	11933
652	52651	11852
653	52752	11776
654	52839	11697
655	52932	11619
656	53046	11545
657	53162	11472
658	53252	11393
659	53331	11312
660	53418	11233
661	53509	11154
662	53592	11074
663	53673	10993
664	53759	10913
665	53841	10833
666	53921	10751
667	54006	10671
668	54084	10590
669	54162	10509
670	54281	10435
671	54373	10356
672	54467	10278
673	54548	10197
674	54625	10115
675	54711	10035
676	54791	9954
677	54868	9873
678	54950	9792
679	55037	9712
680	55116	9631
681	55196	9550
682	55280	9469
683	55368	9390
684	55472	9312
685	55582	9236
686	55682	9158
687	55768	9078
688	55862	8999
689	55950	8919
690	56046	8840
691	56134	8760
692	56201	8677
693	56260	8593
694	56304	8506
695	56335	8417
696	56368	8329
697	56414	8243
698	56453	8157
699	56488	8069
700	56522	7982
701	56554	7895
702	56583	7807
703	56615	7720
704	56645	7633
705	56675	7546
706	56708	7459
707	56741	7373
708	56772	7286
709	56802	7200
710	56833	7114
711	56865	7028
712	56905	6943
713	56941	6858
714	56975	6773
715	57007	6687
716	57036	6602
717	57064	6517
718	57092	6431
719	57124	6347
720	57156	6262
721	57187	6178
722	57217	6093
723	57248	6009
724	57282	5925
725	57310	5841
726	57340	5757
727	57370	5674
728	57398	5590
729	57428	5506
730	57460	5423
731	57490	5340
732	57520	5257
733	57550	5174
734	57581	5092
735	57610	5009
736	57640	4927
737	57671	4845
738	57705	4763
739	57734	4681
740	57764	4599
741	57795	4517
742	57825	4436
743	57856	4354
744	57885	4273
745	57914	4192
746	57943	4111
747	57974	4030
748	58009	3949
749	58045	3869
750	58078	3789
751	58108	3709
752	58142	3629
753	58182	3549
754	58217	3469
755	58256	3390
756	58286	3310
757	58313	3231
758	58343	3151
759	58372	3072
760	58401	2992
761	58431	2913
762	58463	2835
763	58495	2756
764	58523	2677
765	58551	2598
766	58579	2520
767	58608	2442
768	58637	2363
769	58666	2285
770	58695	2207
771	58725	2129
772	58755	2052
773	58783	1974
774	58811	1897
775	58840	1819
776	58869	1742
777	58900	1665
778	58932	1588
779	58961	1511
780	58990	1435
781	59019	1358
782	59049	1282
783	59078	1205
784	59107	1129
785	59138	1053
786	59167	977
787	59197	901
788	59225	825
789	59257	750
790	59287	674
791	59317	599
792	59369	524
793	59408	448
794	59443	373
795	59477	298
796	59515	224
797	59546	149
798	59575	74
799	59607	0
