iter	RMSE
173	3.514235113
174	3.510207604
175	3.493783185
176	3.48042682
177	3.461090581
178	3.449046051
179	3.44281778
180	3.429199013
181	3.422298908
182	3.411517333
183	3.405648112
184	3.395680423
185	3.388216205
186	3.377533051
187	3.367775756
188	3.35934764
189	3.354143754
190	3.344957737
191	3.334317889
192	3.329536416
193	3.325616642
194	3.316413441
195	3.302812015
196	3.29622628
197	3.284412574
198	3.273908158
199	3.260731114
200	3.248826218
201	3.241837916
202	3.23493242
203	3.22626273
204	3.222843695
205	3.217047433
206	3.206002729
207	3.191316787
208	3.183834993
209	3.167576283
210	3.162170547
211	3.156818321
212	3.149194157
213	3.139606045
214	3.135853413
215	3.126341617
216	3.113212096
217	3.106901547
218	3.101656195
219	3.086915812
220	3.0834618
221	3.080925601
222	3.074811415
223	3.070923498
224	3.067830808
225	3.055561593
226	3.054096492
227	3.049552971
228	3.044829321
229	3.030820837
230	3.025404451
231	3.01453899
232	3.004550029
233	2.993211158
234	2.986877024
235	2.976542542
236	2.970284988
237	2.962509079
238	2.949271701
239	2.944268228
240	2.937204556
241	2.930425101
242	2.925044294
243	2.916605369
244	2.911919946
245	2.899308981
246	2.892017942
247	2.888039601
248	2.882774494
249	2.878803051
250	2.864995637
251	2.853867381
252	2.850536666
253	2.848198727
254	2.837668686
255	2.828112288
256	2.822191905
257	2.816127162
258	2.810645421
259	2.808479196
260	2.799175918
261	2.793316171
262	2.792059667
263	2.784665867
264	2.773498335
265	2.76576326
266	2.755473537
267	2.748065902
268	2.73544542
269	2.723730672
270	2.717677981
271	2.715063196
272	2.711884224
273	2.705335686
274	2.695798083
275	2.682608884
276	2.675741495
277	2.670237633
278	2.664638555
279	2.657399713
280	2.648236357
281	2.638667815
282	2.629669655
283	2.627210894
284	2.623603492
285	2.620154853
286	2.612138942
287	2.607535386
288	2.599877568
289	2.595538192
290	2.584344834
291	2.578029796
292	2.571606036
293	2.56705458
294	2.561911228
295	2.556804316
296	2.551767892
297	2.544846225
298	2.541071796
299	2.539696006
300	2.535256715
301	2.529133759
302	2.524015036
303	2.518170714
304	2.511842511
305	2.500575642
306	2.495268868
307	2.487663113
308	2.483061071
309	2.47951721
310	2.476970791
311	2.472474602
312	2.468945737
313	2.460181333
314	2.450645116
315	2.447925351
316	2.443285541
317	2.438391418
318	2.43357618
319	2.430325515
320	2.423981282
321	2.414326075
322	2.409298061
323	2.401433271
324	2.39921118
325	2.396790161
326	2.393339257
327	2.386151925
328	2.38204784
329	2.373923992
330	2.365921439
331	2.356339944
332	2.352270947
333	2.347766602
334	2.345529979
335	2.340928716
336	2.338326835
337	2.334726
338	2.331887927
339	2.326188802
340	2.324345031
341	2.318852168
342	2.314064238
343	2.303765606
344	2.299686098
345	2.29331061
346	2.286466847
347	2.279369052
348	2.276572998
349	2.270594174
350	2.265574918
351	2.25632257
352	2.25104492
353	2.244660557
354	2.243653843
355	2.237240687
356	2.231356884
357	2.224601907
358	2.22206563
359	2.218115488
360	2.212698233
361	2.207643761
362	2.206438364
363	2.202062298
364	2.193517771
365	2.189767573
366	2.182881222
367	2.178207053
368	2.171556019
369	2.166449384
370	2.163604133
371	2.154960251
372	2.14825179
373	2.138866531
374	2.136751329
375	2.134313897
376	2.128936344
377	2.124857242
378	2.121925887
379	2.118303982
380	2.11386044
381	2.112325957
382	2.108499876
383	2.106111896
384	2.102834767
385	2.098334986
386	2.095080577
387	2.092584194
388	2.087483257
389	2.083286506
390	2.077746633
391	2.075906983
392	2.070952391
393	2.067528398
394	2.064909027
395	2.059631247
396	2.054271209
397	2.051020632
398	2.045646776
399	2.042859332
400	2.038782546
401	2.03644939
402	2.034509626
403	2.030513068
404	2.025476776
405	2.024141719
406	2.023176223
407	2.020586576
408	2.017515969
409	2.01471206
410	2.012527369
411	2.008394467
412	2.006637468
413	2.001695547
414	1.998197394
415	1.994883622
416	1.993744385
417	1.99057637
418	1.984510135
419	1.978284154
420	1.973548146
421	1.970436754
422	1.96948629
423	1.967175633
424	1.96694116
425	1.961452717
426	1.956513133
427	1.953209962
428	1.952678074
429	1.94865661
430	1.9431717
431	1.941170595
432	1.940306394
433	1.938438929
434	1.934495414
435	1.934981041
436	1.934218958
437	1.930506108
438	1.9280086
439	1.927097001
440	1.924370821
441	1.920172765
442	1.91747171
443	1.913792925
444	1.90966949
445	1.905784367
446	1.903205405
447	1.899536071
448	1.894898767
449	1.892575847
450	1.889355556
451	1.88505452
452	1.879328033
453	1.876040753
454	1.875125849
455	1.871857754
456	1.869894311
457	1.866484573
458	1.865403492
459	1.863087807
460	1.860309811
461	1.85467433
462	1.852369513
463	1.84649307
464	1.844802101
465	1.843752017
466	1.841267253
467	1.839922924
468	1.837409695
469	1.834823265
470	1.831684882
471	1.829952753
472	1.826654852
473	1.82210014
474	1.818977036
475	1.814242021
476	1.809525014
477	1.803644629
478	1.803464311
479	1.800301533
480	1.796891769
481	1.793177321
482	1.790037991
483	1.785400614
484	1.784037217
485	1.781069552
486	1.777999457
487	1.776762089
488	1.774969443
489	1.77245294
490	1.769814801
491	1.767649162
492	1.764225231
493	1.763489804
494	1.75621852
495	1.755026313
496	1.750300336
497	1.747646779
498	1.746331689
499	1.743687044
500	1.742119247
501	1.74059949
502	1.739133554
503	1.732066716
504	1.729732684
505	1.725222271
506	1.721835248
507	1.717925213
508	1.716022463
509	1.712007806
510	1.708663654
511	1.704728557
512	1.702811474
513	1.700374893
514	1.696484511
515	1.692777173
516	1.69287654
517	1.690384318
518	1.688199941
519	1.683983993
520	1.676567254
521	1.673018685
522	1.671848467
523	1.667568758
524	1.664987099
525	1.661310216
526	1.658575519
527	1.654939747
528	1.654225868
529	1.651858717
530	1.648214591
531	1.646764643
532	1.645528317
533	1.644401992
534	1.641432817
535	1.638932417
536	1.637735809
537	1.636764699
538	1.635133998
539	1.63239633
540	1.630224546
541	1.627412303
542	1.626595978
543	1.623331145
544	1.622737752
545	1.621312474
546	1.616887538
547	1.615920172
548	1.612170894
549	1.610715744
550	1.608733366
551	1.60789118
552	1.604406365
553	1.602101888
554	1.600126049
555	1.597211657
556	1.595214427
557	1.592882984
558	1.592132445
559	1.5889003
560	1.586113541
561	1.581796301
562	1.579841299
563	1.576372072
564	1.575405302
565	1.573391493
566	1.572712978
567	1.571011576
568	1.569929521
569	1.568481493
570	1.566834962
571	1.562426566
572	1.559453336
573	1.557933353
574	1.553777398
575	1.552344273
576	1.549590649
577	1.54561217
578	1.540734163
579	1.537215307
580	1.5352884
581	1.52942781
582	1.527908603
583	1.525530491
584	1.518784667
585	1.515898204
586	1.513270979
587	1.511604716
588	1.508827026
589	1.506738457
590	1.506177245
591	1.50276486
592	1.500303328
593	1.495609885
594	1.491815933
595	1.491311863
596	1.485832702
597	1.484379006
598	1.484041019
599	1.482920726
600	1.479572602
601	1.478149122
602	1.476832997
603	1.474204737
604	1.473540651
605	1.472522345
606	1.471317765
607	1.467280056
608	1.465686127
609	1.46365397
610	1.463527835
611	1.463238875
612	1.462421492
613	1.461156188
614	1.456119426
615	1.45514244
616	1.453546089
617	1.453303922
618	1.451047257
619	1.451513156
620	1.449181228
621	1.446180524
622	1.443574878
623	1.440371883
624	1.437024353
625	1.434334366
626	1.433909324
627	1.433675928
628	1.432769964
629	1.430814828
630	1.429743926
631	1.426823847
632	1.4252534
633	1.422779943
634	1.421587934
635	1.421003287
636	1.419501392
637	1.418246244
638	1.417566357
639	1.41495378
640	1.414319795
641	1.412176369
642	1.410150458
643	1.409375999
644	1.408870482
645	1.408040328
646	1.405923715
647	1.403203786
648	1.400797858
649	1.398755274
650	1.397378177
651	1.397747338
652	1.397702067
653	1.393050849
654	1.392688526
655	1.390250208
656	1.389544178
657	1.387680619
658	1.384793187
659	1.384851142
660	1.383476706
661	1.383183035
662	1.380424011
663	1.37817725
664	1.375934042
665	1.373279688
666	1.371204457
667	1.368106518
668	1.367590338
669	1.366890578
670	1.364459246
671	1.363399592
672	1.36122504
673	1.360945636
674	1.360584587
675	1.359596103
676	1.357863657
677	1.358481878
678	1.357565221
679	1.357201648
680	1.356539179
681	1.354428282
682	1.355348425
683	1.353211137
684	1.351143472
685	1.348353955
686	1.346998434
687	1.346683263
688	1.345875201
689	1.344203415
690	1.343101049
691	1.343431814
692	1.342598462
693	1.341538524
694	1.340560801
695	1.33743515
696	1.335972375
697	1.33534195
698	1.334197611
699	1.333598746
700	1.332966093
701	1.330698105
702	1.329180684
703	1.328742542
704	1.327911121
705	1.326499095
706	1.324333733
707	1.322804578
708	1.321189014
709	1.321058468
710	1.319598445
711	1.317043364
712	1.315354993
713	1.313935863
714	1.312962271
715	1.311041816
716	1.308518834
717	1.307248312
718	1.30668439
719	1.305596979
720	1.303553268
721	1.303244628
722	1.300724622
723	1.299842298
724	1.296813383
725	1.292960625
726	1.290463641
727	1.290138232
728	1.29011593
729	1.287643821
730	1.285359458
731	1.28451694
732	1.284014722
733	1.28229971
734	1.281461916
735	1.279563778
736	1.278913057
737	1.277898895
738	1.276544158
739	1.274508172
740	1.274158653
741	1.273783525
742	1.273026863
743	1.271826809
744	1.27095434
745	1.270389413
746	1.269363754
747	1.268892089
748	1.267032043
749	1.266573361
750	1.266497948
751	1.264940834
752	1.263309436
753	1.261031606
754	1.260682371
755	1.258192117
756	1.256394416
757	1.256579481
758	1.255296545
759	1.252997377
760	1.252636847
761	1.250987024
762	1.247554263
763	1.246664239
764	1.24707633
765	1.247790118
766	1.246023722
767	1.244483259
768	1.2440663
769	1.24067009
770	1.240833489
771	1.240633234
772	1.239141975
773	1.238415506
774	1.236896991
775	1.236868697
776	1.23623494
777	1.233682798
778	1.233129512
779	1.231026796
780	1.231740845
781	1.228891926
782	1.228029396
783	1.229040498
784	1.228431927
785	1.227269152
786	1.22501075
787	1.222685657
788	1.22271651
789	1.22224146
790	1.220497611
791	1.220967862
792	1.220201166
793	1.218191919
794	1.217817699
795	1.21698604
796	1.21552694
797	1.213314432
798	1.213597798
799	1.212167222
